1,2,3,4,5,6,7
1568.325,6361.08,13467.744,2795.859,627.428,220.515,126.36
3390.464,4882.828,4093.632,2838.115,439.83,169.648,77.36
921.416,21498.568,3091.042,900.684,448.02,80.41,52.08
948.646,5109.36,10932.144,911.68,205.368,141.056,62.336
363.147,1068.306,3504.27,2369.414,209.825,57.794,46.41
579.714,2740.768,1526.802,1376.619,688.974,79.9,43.4
1416.39,5238.406,1916.372,440.852,266.696,221.779,64.35
4026.132,6357.78,2493.169,472.32,93.618,73.289,70.992
1.724,10175.424,3716.064,726.932,78.85,4.91,32.274
670.53,3739.712,11160.528,1684.425,60.48,14.34,12.298
676.2,10774.059,4635.085,5318.096,1141.06,123.684,3.072
92.24,23606.268,17393.272,720.772,2068.744,107.274,1.868
1825.29,1999.38,28839.195,2561.994,322.152,324.342,77.064
2403.24,18604.005,2127.875,5723.32,654.62,105.056,75.894
658.983,23558.67,12561.779,1602.49,1218.756,244.856,91.932
813,6485.805,20528.298,3079.856,127.102,245.1,46.942
1500.878,11112.73,7014.897,5108.928,840.888,48.575,94.472
449.524,8620.04,8716.164,1657.664,922.778,269.466,17.316
647.105,10082.352,4522.385,1302.336,229.887,190.12,65.208
64.302,1521.073,8844.324,1922.778,339.963,122.937,84.065
292.752,9148.55,1809.459,3256.099,373.35,98.838,53.244
260.652,1574.95,11179.27,526.824,586.04,79.13,15.568
58.56,3370.96,2655.731,3696.88,419.686,223.214,33.252
20.043,597.849,2584.786,942.347,866.415,256.08,126.848
179.646,453.096,1540.008,1006.992,520.284,189.618,82.89
196.56,3501.777,1063.125,633.552,448.329,139.425,55.835
70.448,848.616,3375.103,1268.064,284.856,80.696,40.5
111.867,1299.13,1264.47,1919.972,522.319,59.86,13.692
284.735,597.651,1717.344,802.449,734.25,311.004,67.69
41.23,2657.76,1077.75,819.128,138.243,144.312,24.149
172.523,941.325,3017.16,376.31,226.653,33.8,61.336
0.6,875.84,1372.546,1027.381,140.211,54.536,34.262
115.947,130.19,853.86,449.046,276.969,53.218,29.952
0.518,1263.88,144.1,341.448,143.376,80.388,22.968
6.232,28.404,4224.36,148.047,141.722,34.932,16.568
38.372,101.304,35.92,1372.428,38.703,14.193,4.13
