0,1,2,3,4,5,6,7
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
1.318,0.598,0.411,0.324,0.274,0.241,0.218,0.201
