R(age 0),Low,High,SSB,Low,High,Fbar(3-5),Low,High,TSB,Low,High,Catch,Low,High
470570,212465,1042224,35868,27834,46221,1.17,1.007,1.36,48865.3130574405,38730.8578897844,61651.5861073005,32136.1632678889,24362.9446367654,42389.4978615164
165497,77546,353199,24638,20053,30270,1.157,1.012,1.322,38928.7172918889,31483.7030131789,48134.2690012497,23785.7813452244,19335.7802661492,29259.9205418824
75369,34969,162440,26098,20470,33274,1.137,1.004,1.288,39234.9944719671,30315.3630873191,50779.0319641335,27534.4834429469,20757.2777098235,36524.4320121571
86141,40345,183922,27372,20930,35798,1.13,1.002,1.274,35486.50108443,27497.7034834677,45796.2520387336,25166.4781115087,19106.3554196821,33148.7406480783
134536,63002,287292,19433,15292,24694,1.128,1.003,1.268,25258.1092947595,20215.9962960293,31557.7860128182,16250.2610010506,12865.5121635003,20525.4932136662
220027,103190,469156,13596,11180,16534,1.15,1.028,1.286,19777.2630198625,16403.6434371808,23844.7107226346,11964.4893434702,9889.18098189145,14475.3145394083
404528,188199,869523,11956,9793,14597,1.177,1.052,1.316,20820.5619966014,16858.4869876553,25713.8023223408,12145.2292318931,9795.25365674434,15058.9865524991
173479,80914,371938,13878,11035,17454,1.192,1.065,1.335,26336.9142595133,20480.5286663294,33867.9271425891,15657.8936418438,12277.1027061574,19969.6654143271
361613,168506,776021,22006,16739,28932,1.183,1.059,1.321,35229.286377147,26966.8216851605,46023.3183254961,22966.3334322054,17201.4239676095,30663.3027772837
544050,251607,1176402,32073,24406,42149,1.168,1.048,1.302,48197.1037042664,37775.7358565156,61493.4627429406,32467.724182244,24579.9775540568,42886.6589180547
176297,81213,382704,37112,29595,46537,1.183,1.06,1.321,58277.7911730784,46695.5118855815,72732.9202929593,34841.7297127366,27926.1477776811,43469.8741494733
500589,243469,1029248,48518,38323,61426,1.165,1.045,1.299,69265.4264764508,54932.0620115683,87338.7804731277,46067.3420583651,35799.1179159277,59280.7903621057
775348,377834,1591082,50887,38350,67523,1.167,1.047,1.301,71510.2993259808,55513.8822581406,92116.1104516608,42155.0782691497,31789.7196187425,55900.1666321848
310163,156054,616462,38165,30585,47625,1.17,1.05,1.303,68474.4796368946,54400.2972620693,86189.8665545112,37595.6358367269,30036.5591357785,47057.048964179
289530,159525,525485,43488,34911,54172,1.195,1.066,1.34,63618.4457592079,51021.0884281463,79326.1524892231,43723.6905716233,34478.3370593503,55448.1822575199
150755,78088,291042,40421,32028,51014,1.196,1.064,1.345,54831.4785240168,44226.3407617902,67979.6470913825,35633.4471540949,28132.6578667058,45134.1128911386
365810,199597,670437,36590,30037,44572,1.193,1.057,1.347,51091.5883257124,42171.60864952,61898.2884750304,29952.3833319635,24440.5772868277,36707.2044467787
107219,56561,203246,32267,26247,39668,1.17,1.039,1.317,45808.5825715704,37642.8676496504,55745.6529812459,25067.5548562415,20455.2996721935,30719.7800345543
410100,222715,755144,29414,24066,35950,1.133,1.011,1.269,43352.7145960624,35331.902037237,53194.3584827911,25112.6823405248,20152.413874046,31293.8597965332
129556,71029,236309,28790,22865,36249,1.105,0.988,1.237,44299.9486216105,35853.2016097718,54736.6862585139,21278.57881479,16871.9817991104,26836.0837374245
132360,72510,241607,33974,27341,42217,1.063,0.949,1.19,49172.7029883571,39319.5054686099,61495.0440084126,26736.1765269926,21307.582077134,33547.8297206522
43875,23905,80527,32000,25119,40767,1.009,0.891,1.143,40896.2467286476,32478.6719195749,51495.4244629197,25338.7681486076,19535.8508183682,32865.3805384923
16009,7835,32710,29563,23914,36546,0.995,0.879,1.127,37715.4734885212,30724.9363355466,46296.4975721582,20993.4161632957,16947.2853724783,26005.5526604304
180083,94583,342874,20523,17024,24742,1.006,0.896,1.129,25544.9145334504,21305.6829297341,30627.6339826028,14693.2360257679,12162.7704370563,17750.1652297218
64312,35297,117178,14724,12228,17728,1.013,0.904,1.134,20291.3927085414,17002.2432751139,24216.8407656483,9483.48190720252,7931.76883018573,11338.7607493008
102718,55408,190423,14106,11466,17353,1.017,0.908,1.14,20977.6979854206,16873.4165104893,26080.3028535422,11403.6559135802,9053.96350571536,14363.1425191013
75933,42192,136655,14226,11030,18349,1.002,0.894,1.125,19041.4791215105,15036.4919719376,24113.1992629395,13052.2155835989,9982.92223554547,17065.1766708301
188348,102117,347395,15488,12464,19247,0.986,0.878,1.107,20990.7195248495,17175.790681952,25652.9853169371,12095.629833824,9815.61752699579,14905.2528457344
108853,60346,196351,12868,10619,15593,0.998,0.886,1.126,18787.4593235487,15648.0291320421,22556.7465944471,9987.65131681191,8262.54571403344,12072.9351798671
66435,36516,120868,16074,13268,19474,0.973,0.86,1.1,22464.9258283837,18475.5279648786,27315.7494299567,12523.3179211512,10296.6233220233,15231.5459980727
14288,7537,27088,17339,14085,21344,0.953,0.836,1.086,22785.8645329845,18596.0794314579,27919.6281360913,13351.4819288648,10645.2392454116,16745.7081599776
214018,106804,428857,12710,10214,15816,0.939,0.815,1.083,16834.1914731343,13670.9544953526,20729.3501452649,9578.01278799881,7748.55551663502,11839.4104256103
8965,4776,16828,9235,7458,11434,0.92,0.783,1.081,13091.9758948803,10638.3145769077,16111.5589873775,6643.58000537626,5418.82309029176,8145.15523987309
16324,8724,30542,10432,8109,13422,0.903,0.75,1.086,14800.0812868015,11313.6041483799,19360.9749133124,7739.40500008388,5905.96305042842,10142.0190481853
40091,19999,80369,12915,9360,17820,0.89,0.721,1.098,15712.3791242527,11445.2062088909,21570.5032516121,7773.29675189695,5572.93415786312,10842.4289039547
63487,25911,155556,9332,5902,14757,0.882,0.7,1.112,11729.2468657375,7618.87611856945,18057.1556613319,5907.8457671888,3689.01187057142,9461.24404947612
63487,4742,849920,7668,4472,13151,0.882,0.688,1.131,10524.9727148062,6416.05946280686,17265.2780557234,NA,NA,NA
