"site";"id";"value";"year";"das_comment";"ser_id";"cou_order";"area_division";"ser_qal_id";"ser_y";"das_qal_id";"das_last_update";"f_subarea";"lfs_code";"lifestage";"area";"area2";"decade";"year_f";"ldata";"mean_2000_2009";"value_std_2000_2009";"mean_1979_1994";"value_std_1979_1994";"mean";"value_std"
"282";"BeeY";5560;19;2019;NA;318;17;"27.4.c";1;51.743997;1;2020-09-01;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2010";"2019";2.94443897916644;NA;NA;NA;NA;66.7;0.284857571214393
"283";"BeeY";6846;0;2011;NA;318;17;"27.4.c";1;51.743997;1;2021-09-09;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2010";"2011";-Inf;NA;NA;NA;NA;66.7;0
"284";"BeeY";6847;97;2012;NA;318;17;"27.4.c";1;51.743997;1;2021-09-09;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2010";"2012";4.57471097850338;NA;NA;NA;NA;66.7;1.45427286356822
"285";"BeeY";6851;55;2016;NA;318;17;"27.4.c";1;51.743997;1;2021-09-09;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2010";"2016";4.00733318523247;NA;NA;NA;NA;66.7;0.824587706146926
"286";"BeeY";6852;88;2017;NA;318;17;"27.4.c";1;51.743997;1;2021-09-09;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2010";"2017";4.47733681447821;NA;NA;NA;NA;66.7;1.31934032983508
"287";"BeeY";6848;11;2013;NA;318;17;"27.4.c";1;51.743997;1;2021-09-09;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2010";"2013";2.39789527279837;NA;NA;NA;NA;66.7;0.164917541229385
"288";"BeeY";6849;0;2014;NA;318;17;"27.4.c";1;51.743997;1;2021-09-09;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2010";"2014";-Inf;NA;NA;NA;NA;66.7;0
"289";"BeeY";6850;61;2015;NA;318;17;"27.4.c";1;51.743997;1;2021-09-09;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2010";"2015";4.11087386417331;NA;NA;NA;NA;66.7;0.914542728635682
"290";"BeeY";5550;297;2020;"Comment and value updated in 2021. Das value from 7 to 297 and comment from 'Provisional data as of June 2020. Two weeks at the start of the run- end of March/early April monitoring impacted by COVID19- trap not monitored within this period' to 'Two weeks at the start of the run- end of March/early April monitoring impacted by COVID19- trap not monitored within this period'";318;17;"27.4.c";1;51.743997;4;2021-09-09;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2020";"2020";5.6937321388027;NA;NA;NA;NA;66.7;4.4527736131934
"291";"BeeY";6853;39;2018;NA;318;17;"27.4.c";1;51.743997;1;2021-09-09;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2010";"2018";3.66356164612965;NA;NA;NA;NA;66.7;0.584707646176912
"342";"BroY";5534;610;2019;"In 2019 the trap was not running continuously throughout the year- this will therefore be an underestimate.";186;17;"27.4.c";1;52.3353;4;2020-09-01;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2010";"2019";6.41345895716736;NA;NA;NA;NA;3039.44444444444;0.200694571376348
"343";"BroY";3147;23690;2011;NA;186;17;"27.4.c";1;52.3353;NA;2020-08-27;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2010";"2011";10.0728082971528;NA;NA;NA;NA;3039.44444444444;7.79418753427161
"344";"BroY";3149;734;2013;NA;186;17;"27.4.c";1;52.3353;NA;2020-08-27;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2010";"2013";6.59850902861452;NA;NA;NA;NA;3039.44444444444;0.241491500639737
"345";"BroY";3150;219;2014;NA;186;17;"27.4.c";1;52.3353;NA;2020-08-27;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2010";"2014";5.3890717298165;NA;NA;NA;NA;3039.44444444444;0.0720526411990495
"346";"BroY";3151;1098;2015;NA;186;17;"27.4.c";1;52.3353;NA;2020-08-27;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2010";"2015";7.00124562206948;NA;NA;NA;NA;3039.44444444444;0.361250228477426
"347";"BroY";3152;538;2016;NA;186;17;"27.4.c";1;52.3353;NA;2020-08-27;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2010";"2016";6.28785856016178;NA;NA;NA;NA;3039.44444444444;0.177006031804058
"348";"BroY";3153;271;2017;NA;186;17;"27.4.c";1;52.3353;NA;2020-08-27;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2010";"2017";5.6021188208797;NA;NA;NA;NA;3039.44444444444;0.0891610308901481
"349";"BroY";3154;108;2018;"Updated 2020, provisonal data as of June 2018 changed from 107 to 108";186;17;"27.4.c";1;52.3353;1;2020-09-01;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2010";"2018";4.68213122712422;NA;NA;NA;NA;3039.44444444444;0.0355328093584354
"350";"BroY";3148;NA;2012;"2012 represents a partial count.";186;17;"27.4.c";1;52.3353;3;2020-08-27;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2010";"2012";3.98898404656427;NA;NA;NA;NA;3039.44444444444;NA
"351";"BroY";5544;87;2020;"Comment updated in 2021 from \"Provisional data as of June 2020\" to \"Final count for 2020. Monitoring impacted by COVID19.\"";186;17;"27.4.c";1;52.3353;4;2021-09-09;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2020";"2020";4.46590811865458;NA;NA;NA;NA;3039.44444444444;0.0286236519831841
"352";"BroY";6832;NA;2021;"Provisional data up to July 2021. Trap flooded out May and June";186;17;"27.4.c";1;52.3353;3;2021-09-28;"27.4";"Y";"yellow eel";"North Sea";"North Sea";"2020";"2021";0.693147180559945;NA;NA;NA;NA;3039.44444444444;NA
"370";"DalaY";1185;276.4;1965;NA;30;2;"27.3.d";1;60.56;NA;2020-08-27;"27.3";"Y";"yellow eel";"North Sea";"Baltic";"1960";"1965";5.62184909189352;42.381;6.52179042495458;42.9666666666667;6.43289371605896;125.127940298507;2.20893910137588
"371";"DalaY";1182;289;1962;NA;30;2;"27.3.d";1;60.56;NA;2020-08-27;"27.3";"Y";"yellow eel";"North Sea";"Baltic";"1960";"1962";5.66642668811243;42.381;6.81909346169274;42.9666666666667;6.72614429790535;125.127940298507;2.30963603580908
"372";"DalaY";1218;14.7;1998;NA;30;2;"27.3.d";1;60.56;NA;2020-08-27;"27.3";"Y";"yellow eel";"North Sea";"Baltic";"1990";"1998";2.68784749378469;42.381;0.346853542861188;42.9666666666667;0.342125678820791;125.127940298507;0.117479756838732
"373";"DalaY";1175;550;1955;NA;30;2;"27.3.d";1;60.56;NA;2020-08-27;"27.3";"Y";"yellow eel";"North Sea";"Baltic";"1950";"1955";6.30991827822652;42.381;12.9775135084118;42.9666666666667;12.8006206361521;125.127940298507;4.39550110621105
"374";"DalaY";1192;87.6;1972;NA;30;2;"27.3.d";1;60.56;NA;2020-08-27;"27.3";"Y";"yellow eel";"North Sea";"Baltic";"1970";"1972";4.47278099794235;42.381;2.0669639697034;42.9666666666667;2.03878975950349;125.127940298507;0.700083448916524
